ASM_ACCESSION,NCBI_TAXID,SPECIES_IN,STRAIN,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES
GCA_981112785.1_gfLacPube1.hap1.1,152943,Lactarius pubescens,,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactarius,Lactarius pubescens
GCA_015025155.1_Lacqui1,111141,Lactarius quietus,S23C,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactarius,Lactarius quietus
GCA_021527775.1_Lacsan1,111137,Lactarius sanguifluus,B21,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactarius,Lactarius sanguifluus
GCA_963281015.1_gfLacTabi1.1,152947,Lactarius tabidus,,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactarius,Lactarius tabidus
GCA_003315845.1_ASM331584v1,217427,Lactarius trivialis,MG71,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactarius,Lactarius trivialis
GCA_021527035.1_Lacviv1,1740625,Lactarius vividus,141,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactarius,Lactarius vividus
GCA_003315975.1_ASM331597v1,2017516,Lactifluus echinatus,MG122,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactifluus,Lactifluus echinatus
GCA_003314055.1_ASM331405v1,1837245,Lactifluus hygrophoroides,MG19,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactifluus,Lactifluus hygrophoroides
GCA_003313945.1_ASM331394v1,904239,Lactifluus pinguis,MG27,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactifluus,Lactifluus pinguis
GCA_003315875.1_ASM331587v1,71966,Lactifluus piperatus,MG49,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactifluus,Lactifluus piperatus
GCA_003315895.1_ASM331589v1,1837266,Lactifluus rugatus,MG108,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactifluus,Lactifluus rugatus
GCA_022496195.1_Lacsub1,1837270,Lactifluus subvellereus,BPL653,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactifluus,Lactifluus subvellereus
GCA_022376515.1_Lacvol1,71967,Lactifluus volemus,BPL652,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Lactifluus,Lactifluus volemus
GCF_001632365.1_Laesu1,1314785,Laetiporus sulphureus 93-53,93-53,Basidiomycota,,Agaricomycetes,,Polyporales,Laetiporaceae,Laetiporus,Laetiporus sulphureus
GCA_022814265.1_ASM2281426v1,1397036,Lambiella insularis,Spribille 39820,Ascomycota,,Lecanoromycetes,,Baeomycetales,Xylographaceae,Lambiella,Lambiella insularis
GCA_020310465.1_ASM2031046v1,1603062,Lanmaoa asiatica,LA01,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Lanmaoa,Lanmaoa asiatica
GCA_038093455.1_MICH10002-Boletus-carminipes,1173595,Lanmaoa carminipes,MICH10002,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Lanmaoa,Lanmaoa carminipes
GCA_038092875.1_MICH10030-Boletus-pseudosensibilis,1354908,Lanmaoa pseudosensibilis,MICH10030,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Lanmaoa,Lanmaoa pseudosensibilis
GCA_000812885.1_ASM81288v1,1424426,Lanzia echinophila,CBS 111548,Ascomycota,,Leotiomycetes,,Helotiales,Rutstroemiaceae,Lanzia,Lanzia echinophila
GCA_964254525.1_public_SRR14722095_metabat2_bin.7,136371,Lasallia papulosa,,Ascomycota,,Lecanoromycetes,,Umbilicariales,Umbilicariaceae,Lasallia,Lasallia papulosa
GCA_053477785.1_ASM5347778v1,136370,Lasallia pustulata,5131,Ascomycota,,Lecanoromycetes,,Umbilicariales,Umbilicariaceae,Lasallia,Lasallia pustulata
GCA_977013665.2_LaRA1-scaf.v2,1423229,Lasiodiplodia brasiliensis,LaRA1,Ascomycota,,Dothideomycetes,,Botryosphaeriales,Botryosphaeriaceae,Lasiodiplodia,Lasiodiplodia brasiliensis
GCA_023089105.1_ASM2308910v1,869388,Lasiodiplodia citricola,KE87127,Ascomycota,,Dothideomycetes,,Botryosphaeriales,Botryosphaeriaceae,Lasiodiplodia,Lasiodiplodia citricola
GCA_977013655.2_30BrSyA5-s.v2,1451148,Lasiodiplodia euphorbiaceicola,30BrSyA5,Ascomycota,,Dothideomycetes,,Botryosphaeriales,Botryosphaeriaceae,Lasiodiplodia,Lasiodiplodia euphorbiaceicola
GCA_009829795.1_ASM982979v1,336252,Lasiodiplodia gonubiensis,CBS 115812,Ascomycota,,Dothideomycetes,,Botryosphaeriales,Botryosphaeriaceae,Lasiodiplodia,Lasiodiplodia gonubiensis
GCA_030512325.1_ASM3051232v1,869390,Lasiodiplodia hormozganensis,CBS 339.90,Ascomycota,,Dothideomycetes,,Botryosphaeriales,Botryosphaeriaceae,Lasiodiplodia,Lasiodiplodia hormozganensis
GCA_030270915.1_ASM3027091v1,869387,Lasiodiplodia iranensis,CCTCC M2017288,Ascomycota,,Dothideomycetes,,Botryosphaeriales,Botryosphaeriaceae,Lasiodiplodia,Lasiodiplodia iranensis
GCA_029590625.1_ASM2959062v1,1108764,Lasiodiplodia mahajangana,VT137,Ascomycota,,Dothideomycetes,,Botryosphaeriales,Botryosphaeriaceae,Lasiodiplodia,Lasiodiplodia mahajangana
GCA_033955225.1_ASM3395522v1,466954,Lasiodiplodia pseudotheobromae,RIFT3495,Ascomycota,,Dothideomycetes,,Botryosphaeriales,Botryosphaeriaceae,Lasiodiplodia,Lasiodiplodia pseudotheobromae
GCF_012971845.1_ASM1297184v1,45133,Lasiodiplodia theobromae,AM2As,Ascomycota,,Dothideomycetes,,Botryosphaeriales,Botryosphaeriaceae,Lasiodiplodia,Lasiodiplodia theobromae
GCA_033439745.1_Lashi1,260671,Lasiosphaeria hispida,CBS 955.72,Ascomycota,,Sordariomycetes,,Sordariales,Lasiosphaeriaceae,Lasiosphaeria,Lasiosphaeria hispida
GCF_030549165.1_Lasmin1,1954250,Lasiosphaeria miniovina,SMH2392-1A,Ascomycota,,Sordariomycetes,,Sordariales,Lasiosphaeriaceae,Lasiosphaeria,Lasiosphaeria miniovina
GCA_033439765.1_Lasov1,92902,Lasiosphaeria ovina,CBS 958.72,Ascomycota,,Sordariomycetes,,Sordariales,Lasiosphaeriaceae,Lasiosphaeria,Lasiosphaeria ovina
GCA_030549175.1_Lashir1,260670,Lasiosphaeris hirsuta,SMH4607-1,Ascomycota,,Sordariomycetes,,Sordariales,Lasiosphaeriaceae,Lasiosphaeris,Lasiosphaeris hirsuta
GCA_051528715.1_YNP79,132584,Lecanicillium aphanocladii,MUC58163,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Lecanicillium,Lecanicillium aphanocladii
GCA_051527325.1_YNP40,2496607,Lecanicillium coprophilum,MUC594,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Lecanicillium,Lecanicillium coprophilum
GCA_051529435.1_YNP44,468837,Lecanicillium saksenae,MUC18310,Ascomycota,,Sordariomycetes,,Hypocreales,Cordycipitaceae,Lecanicillium,Lecanicillium saksenae
GCA_964254485.1_public_SRR14722158_metabat2_bin.9,272976,Lecanora albella,,Ascomycota,,Lecanoromycetes,,Lecanorales,Lecanoraceae,Lecanora,Lecanora albella
GCA_964256165.1_public_SRR14722163_concoct_bin.11,3163698,Lecanora atra,,Ascomycota,,Lecanoromycetes,,Lecanorales,Lecanoraceae,Lecanora,Lecanora atra
GCA_050886345.1_ASM5088634v1,1217787,Lecanora helva,VPMG_37,Ascomycota,,Lecanoromycetes,,Lecanorales,Lecanoraceae,Lecanora,Lecanora helva
GCA_964256265.1_public_SRR14722184_concoct_bin.5,394998,Lecanora hybocarpa,,Ascomycota,,Lecanoromycetes,,Lecanorales,Lecanoraceae,Lecanora,Lecanora hybocarpa
GCA_964254635.1_public_SRR14722309_metabat2_bin.1,2217878,Lecanora markjohnstonii,,Ascomycota,,Lecanoromycetes,,Lecanorales,Lecanoraceae,Lecanora,Lecanora markjohnstonii
GCA_964256795.1_public_SRR14722231_metabat2_bin.5,2488738,Lecanora masana,,Ascomycota,,Lecanoromycetes,,Lecanorales,Lecanoraceae,Lecanora,Lecanora masana
GCA_964255375.1_public_SRR14722078_concoct_bin.17,1181316,Lecanora oreinoides,,Ascomycota,,Lecanoromycetes,,Lecanorales,Lecanoraceae,Lecanora,Lecanora oreinoides
GCA_964255525.1_public_SRR14722232_concoct_bin.14,258252,Lecanora rugosella,,Ascomycota,,Lecanoromycetes,,Lecanorales,Lecanoraceae,Lecanora,Lecanora rugosella
GCA_964254475.1_public_SRR14722154_metabat2_bin.3,1518595,Lecanora strobilina,,Ascomycota,,Lecanoromycetes,,Lecanorales,Lecanoraceae,Lecanora,Lecanora strobilina
GCA_964256505.1_public_SRR14721987_metabat2_bin.1,1217798,Lecanora subimmergens,,Ascomycota,,Lecanoromycetes,,Lecanorales,Lecanoraceae,Lecanora,Lecanora subimmergens
GCA_963674455.1_LECACI7,111012,Lecanosticta acicola,,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Mycosphaerellaceae,Lecanosticta,Lecanosticta acicola
GCA_038090015.1_NY2685927-Leccinum-albellum,2202573,Leccinellum albellum,NY2685927,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinellum,Leccinellum albellum
GCA_038089515.1_PAM-Leccinum-crocipodium,1355219,Leccinellum crocipodium,PAM-2023b,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinellum,Leccinellum crocipodium
GCA_038091855.1_MICH11267-Leccinum-luteum,2169424,Leccinellum luteum,MICH11267,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinellum,Leccinellum luteum
GCA_038089755.1_NY577517-Leccinum-rugosiceps,3114933,Leccinellum rugosiceps,NY577517,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinellum,Leccinellum rugosiceps
GCA_038092315.1_MICH11239-Leccinum-ambiguum,3095479,Leccinum ambiguum,MICH11239,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum ambiguum
GCA_038091055.1_MICH351-Leccinum-angustisporum,3095480,Leccinum angustisporum,MICH351,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum angustisporum
GCA_038092295.1_MICH11237-Leccinum-arenicola,3095481,Leccinum arenicola,MICH11237,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum arenicola
GCA_038092255.1_MICH11245-Leccinum-aurantiacum_var._pallidipes,121046,Leccinum aurantiacum,MICH11245,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum aurantiacum
GCA_038092195.1_MICH11246-Leccinum-barrowsii,3095483,Leccinum barrowsii,MICH11246,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum barrowsii
GCA_038092235.1_MICH11247-Leccinum-boreale,3095484,Leccinum boreale,MICH11247,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum boreale
GCA_038092215.1_MICH11248-Leccinum-broughii,3095485,Leccinum broughii,MICH11248,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum broughii
GCA_038092115.1_MICH11249-Leccinum-brunneo-olivaceum,3095486,Leccinum brunneo-olivaceum,MICH11249,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum brunneo-olivaceum
GCA_038092155.1_MICH11251-Leccinum-cinnamomeum_var._fibrillosum,3095487,Leccinum cinnamomeum,MICH11251,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum cinnamomeum
GCA_038090855.1_MICH5268-Leccinum-clavatum,3095488,Leccinum clavatum,MICH5268,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum clavatum
GCA_038092095.1_MICH11253-Leccinum-colubrinum,3095489,Leccinum colubrinum,MICH11253,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum colubrinum
GCA_038092035.1_MICH11254-Leccinum-disarticulatum,3095490,Leccinum disarticulatum,MICH11254,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum disarticulatum
GCA_038090835.1_MICH5271-Leccinum-discolor,3095491,Leccinum discolor,MICH5271,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum discolor
GCA_038090875.1_MICH5264-Leccinum-fallax,3095492,Leccinum fallax,MICH5264,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum fallax
GCA_038091135.1_MICH5272-Leccinum-fibrillosum,2970138,Leccinum fibrillosum,MICH5272,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum fibrillosum
GCA_038092075.1_MICH11256-Leccinum-fuscescens,3095493,Leccinum fuscescens,MICH11256,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum fuscescens
GCA_038092055.1_MICH11257-Leccinum-glutinopallens,2940214,Leccinum glutinopallens,MICH11257,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum glutinopallens
GCA_038091915.1_MICH11265-Leccinum-griseonigrum,1564914,Leccinum griseonigrum,MICH11265,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum griseonigrum
GCA_038091995.1_MICH11258-Leccinum-holopus_var._americanum,80655,Leccinum holopus,MICH11258,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum holopus
GCA_038092015.1_MICH11259-Leccinum-huronense,3095494,Leccinum huronense,MICH11259,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum huronense
GCA_038090775.1_MICH5294-Leccinum-idahoense,3095495,Leccinum idahoense,MICH5294,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum idahoense
GCA_038091955.1_MICH11260-Leccinum-imitatum,3095496,Leccinum imitatum,MICH11260,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum imitatum
GCA_038091095.1_MICH5295-Leccinum-incarnatum,3095497,Leccinum incarnatum,MICH5295,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum incarnatum
GCA_038091935.1_MICH11262-Leccinum-insigne,273861,Leccinum insigne,MICH11262,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum insigne
GCA_038091875.1_MICH11264-Leccinum-insolens,3016363,Leccinum insolens,MICH11264,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum insolens
GCA_038091885.1_MICH11266-Leccinum-laetum,3095498,Leccinum laetum,MICH11266,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum laetum
GCA_038093135.1_MICH10018-Boletus-longicurvipes,121040,Leccinum longicurvipes,MICH10018,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum longicurvipes
GCA_038091815.1_MICH11268-Leccinum-obscurum,3095499,Leccinum obscurum,MICH11268,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum obscurum
GCA_038091835.1_MICH11269-Leccinum-ochraceum,3095500,Leccinum ochraceum,MICH11269,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum ochraceum
GCA_038091795.1_MICH11270-Leccinum-olivace-lutinosum,3095501,Leccinum olivaceoglutinosum,MICH11270,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum olivaceoglutinosum
GCA_038091775.1_MICH11271-Leccinum-olivaceopallidum,3095502,Leccinum olivaceopallidum,MICH11271,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum olivaceopallidum
GCA_038091755.1_MICH11272-Leccinum-pallidistipes,3095503,Leccinum pallidistipes,MICH11272,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum pallidistipes
GCA_038091735.1_MICH11274-Leccinum-pellstonianum,3095504,Leccinum pellstonianum,MICH11274,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum pellstonianum
GCA_038091715.1_MICH11275-Leccinum-ponderosum,3095505,Leccinum ponderosum,MICH11275,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum ponderosum
GCA_038091675.1_MICH11277-Leccinum-proliferum,3095506,Leccinum proliferum,MICH11277,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum proliferum
GCA_038091695.1_MICH11278-Leccinum-proximum,3095507,Leccinum proximum,MICH11278,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum proximum
GCA_038091655.1_MICH11279-Leccinum-pseudoinsigne,3095508,Leccinum pseudoinsigne,MICH11279,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum pseudoinsigne
GCA_038091395.1_MICH11316-Leccinum-rimulosum,3095509,Leccinum rimulosum,MICH11316,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum rimulosum
GCA_038091635.1_MICH11281-Leccinum-snellii,273865,Leccinum snellii,MICH11281,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum snellii
GCA_038091615.1_MICH11282-Leccinum-solheimii,3095511,Leccinum solheimii,MICH11282,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum solheimii
GCA_038091595.1_MICH11283-Leccinum-subatratum,3095512,Leccinum subatratum,MICH11283,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum subatratum
GCA_038090595.1_MICH5836-Leccinum-subfulvum,3095513,Leccinum subfulvum,MICH5836,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum subfulvum
GCA_038091575.1_MICH11284-Leccinum-subgranulosum,3095514,Leccinum subgranulosum,MICH11284,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum subgranulosum
GCA_038091555.1_MICH11285-Leccinum-sublutescens,3095515,Leccinum sublutescens,MICH11285,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum sublutescens
GCA_038091515.1_MICH11287-Leccinum-subrobustum,3095517,Leccinum subrobustum,MICH11287,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum subrobustum
GCA_038091535.1_MICH11288-Leccinum-subspadiceum,3095518,Leccinum subspadiceum,MICH11288,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum subspadiceum
GCA_038091495.1_MICH11289-Leccinum-subtestaceum,3095519,Leccinum subtestaceum,MICH11289,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum subtestaceum
GCA_038090755.1_MICH5296-Leccinum-truebloodii,3095520,Leccinum truebloodii,MICH5296,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum truebloodii
GCA_038091455.1_MICH11291-Leccinum-uliginosum,273872,Leccinum uliginosum,MICH11291,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum uliginosum
GCA_038091435.1_MICH11292-Leccinum-variabile,3095521,Leccinum variabile,MICH11292,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum variabile
GCA_038091415.1_MICH11293-Leccinum-variicolor,121052,Leccinum variicolor,MICH11293,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Leccinum,Leccinum variicolor
GCA_964256205.1_public_SRR14722164_metabat2_bin.2,262918,Lecidea tessellata,,Ascomycota,,Lecanoromycetes,,Lecideales,Lecideaceae,Lecidea,Lecidea tessellata
GCA_028011355.1_LacJLM2183_1,153920,Lentinula aciculospora,JLM2183,Basidiomycota,,Agaricomycetes,,Agaricales,Omphalotaceae,Lentinula,Lentinula aciculospora
GCA_027886635.1_Lbo_TFB10827_1,40481,Lentinula boryana,TFB10827,Basidiomycota,,Agaricomycetes,,Agaricales,Omphalotaceae,Lentinula,Lentinula boryana
GCA_027921405.1_LboTFB7810_1,2804962,Lentinula detonsa,TFB7810,Basidiomycota,,Agaricomycetes,,Agaricales,Omphalotaceae,Lentinula,Lentinula detonsa
GCF_021015755.1_Lenedo1,5353,Lentinula edodes,Le(Bin) 0899 ss11,Basidiomycota,,Agaricomycetes,,Agaricales,Omphalotaceae,Lentinula,Lentinula edodes
GCA_027919855.1_LboET3784_1,2804957,Lentinula guzmanii,ET3784,Basidiomycota,,Agaricomycetes,,Agaricales,Omphalotaceae,Lentinula,Lentinula guzmanii
GCA_028011325.1_Lenlat1,40482,Lentinula lateritia,RHP3577 ss4,Basidiomycota,,Agaricomycetes,,Agaricales,Omphalotaceae,Lentinula,Lentinula lateritia
GCA_027921425.1_Lennov1,42442,Lentinula novae-zelandiae,TMI1172,Basidiomycota,,Agaricomycetes,,Agaricales,Omphalotaceae,Lentinula,Lentinula novae-zelandiae
GCA_027919835.1_Lenrap1,153919,Lentinula raphanica,INPA1701G ss19,Basidiomycota,,Agaricomycetes,,Agaricales,Omphalotaceae,Lentinula,Lentinula raphanica
GCA_001792895.1_ASM179289v1,2498619,Lentinus brumalis,kfri 20912,Basidiomycota,,Agaricomycetes,,Polyporales,Polyporaceae,Lentinus,Lentinus brumalis
GCA_000787475.1_ASM78747v1,292559,Lentinus polychrous,BCC7694,Basidiomycota,,Agaricomycetes,,Polyporales,Polyporaceae,Lentinus,Lentinus polychrous
GCA_047716615.1_ASM4771661v1,38802,Lentinus squarrosulus,Lesq3,Basidiomycota,,Agaricomycetes,,Polyporales,Polyporaceae,Lentinus,Lentinus squarrosulus
GCF_003813185.1_Lenti7_1,1328758,Lentinus tigrinus ALCF2SS1-7,ALCF2SS1-7,Basidiomycota,,Agaricomycetes,,Polyporales,Polyporaceae,Lentinus,Lentinus tigrinus
GCA_010405425.1_Lenfl1,1168545,Lentithecium fluviatile CBS 122367,CBS 122367,Ascomycota,,Dothideomycetes,,Pleosporales,Lentitheciaceae,Lentithecium,Lentithecium fluviatile
GCA_022264855.1_Trabet1,5632,Lenzites betulinus,CIRM-BRFM 1801,Basidiomycota,,Agaricomycetes,,Polyporales,Polyporaceae,Lenzites,Lenzites betulinus
GCA_965240495.1_gyLeoLubr2.1,39932,Leotia lubrica,,Ascomycota,,Leotiomycetes,,Leotiales,Leotiaceae,Leotia,Leotia lubrica
GCA_001692735.1_Leppa1,1314670,Lepidopterella palustris CBS 459.81,CBS 459.81,Ascomycota,,Dothideomycetes,,Mytilinidiales,Argynnaceae,Lepidopterella,Lepidopterella palustris
GCA_023014365.1_ASM2301436v1,201213,Lepiota brunneoincarnata,LH00008,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Lepiota,Lepiota brunneoincarnata
GCA_023014305.1_ASM2301430v1,56170,Lepiota subincarnata,JWLS061,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Lepiota,Lepiota subincarnata
GCA_004296355.1_ASM429635v1,2136145,Lepiota venenata,LJE,Basidiomycota,,Agaricomycetes,,Agaricales,Agaricaceae,Lepiota,Lepiota venenata
GCA_964255245.1_public_SRR14721995_metabat2_bin.4,1986327,Lepra amara,,Ascomycota,,Lecanoromycetes,,Pertusariales,Pertusariaceae,Lepra,Lepra amara
GCA_042464665.1_ASM4246466v1,1340010,Lepraria finkii,Grewe 0041,Ascomycota,,Lecanoromycetes,,Lecanorales,Stereocaulaceae,Lepraria,Lepraria finkii
GCA_964254625.1_public_SRR14722272_metabat2_bin.6,1340008,Lepraria leprolomopsis,,Ascomycota,,Lecanoromycetes,,Lecanorales,Stereocaulaceae,Lepraria,Lepraria leprolomopsis
GCA_033220425.1_Lene_EWU_01,209136,Lepraria neglecta,Allen 5258,Ascomycota,,Lecanoromycetes,,Lecanorales,Stereocaulaceae,Lepraria,Lepraria neglecta
GCA_964257485.1_public_SRR14722018_metabat2_bin.2,1225178,Lepraria oxybapha,,Ascomycota,,Lecanoromycetes,,Lecanorales,Stereocaulaceae,Lepraria,Lepraria oxybapha
GCA_964256825.1_public_SRR14722274_metabat2_bin.2,2596785,Leprocaulon nicholsiae,,Ascomycota,,Lecanoromycetes,,Leprocaulales,Leprocaulaceae,Leprocaulon,Leprocaulon nicholsiae
GCA_964255575.1_public_SRR1531545_concoct_bin.10,586071,Leptogium austroamericanum,,Ascomycota,,Lecanoromycetes,,Peltigerales,Collemataceae,Leptogium,Leptogium austroamericanum
GCA_964254935.1_public_SRR14722145_metabat2_bin.10,2840224,Leptogium chloromelum,,Ascomycota,,Lecanoromycetes,,Peltigerales,Collemataceae,Leptogium,Leptogium chloromelum
GCA_964256315.1_public_SRR14722197_metabat2_bin.3,586073,Leptogium corticola,,Ascomycota,,Lecanoromycetes,,Peltigerales,Collemataceae,Leptogium,Leptogium corticola
GCA_963580335.1_grLepFlav1.1,2268375,Leptographium flavum,,Ascomycota,,Sordariomycetes,,Ophiostomatales,Ophiostomataceae,Leptographium,Leptographium flavum
GCA_004028395.1_GGAL,255215,Leptographium galeiforme,CBS 115711,Ascomycota,,Sordariomycetes,,Ophiostomatales,Ophiostomataceae,Leptographium,Leptographium galeiforme
GCA_001455505.1_ASM145550v1,96373,Leptographium lundbergii,CBS 138716,Ascomycota,,Sordariomycetes,,Ophiostomatales,Ophiostomataceae,Leptographium,Leptographium lundbergii
GCA_050491845.1_ASM5049184v1,100367,Leptographium procerum,2021000005,Ascomycota,,Sordariomycetes,,Ophiostomatales,Ophiostomataceae,Leptographium,Leptographium procerum
GCA_019925535.1_ASM1992553v1,96404,Leptographium radiaticola,VPRI43523,Ascomycota,,Sordariomycetes,,Ophiostomatales,Ophiostomataceae,Leptographium,Leptographium radiaticola
GCA_029299265.1_LepWag_1.0,155671,Leptographium wageneri,C730,Ascomycota,,Sordariomycetes,,Ophiostomatales,Ophiostomataceae,Leptographium,Leptographium wageneri
GCA_029299245.1_LepWin_1.0,155675,Leptographium wingfieldii,CBS645.89,Ascomycota,,Sordariomycetes,,Ophiostomatales,Ophiostomataceae,Leptographium,Leptographium wingfieldii
GCA_026120165.1_ASM2612016v1,318710,Leptosphaerulina australis,CBS 317.83,Ascomycota,,Dothideomycetes,,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis
GCA_052323655.1_ASM5232365v1,2075124,Leptosphaerulina nitida,CBS 450.84,Ascomycota,,Dothideomycetes,,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina nitida
GCA_001660795.1_Cfu_V1.2,5474,Leptoxyphium fumago,SC3815,Ascomycota,,Dothideomycetes,,Capnodiales,Capnodiaceae,Leptoxyphium,Leptoxyphium fumago
GCF_014066305.1_Lecol_v1.0,112416,Letharia columbiana,WasteWater2,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Letharia,Letharia columbiana
GCF_014066315.1_Lelup_v1.1,560253,Letharia lupina,WasteWater1,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Letharia,Letharia lupina
GCA_964257005.1_public_SRR7232211_concoct_bin.3,129387,Letharia vulpina,,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Letharia,Letharia vulpina
GCA_052059055.1_KEW_Lesu,1145321,Letrouitia subvulpina,LIQ89LESU,Ascomycota,,Lecanoromycetes,,Teloschistales,Letrouitiaceae,Letrouitia,Letrouitia subvulpina
